stock,variable,year,mean,sd,lower,upper,status
Acanthocybium solandri,b_div_bmsy,2020,1.158039488,0.182170976,0.855876509,1.54019191,Fully fished
Acanthopagrus berda,b_div_bmsy,2020,1.206222174,0.177525021,0.899032884,1.58504903,Underfished
Acanthopagrus latus,b_div_bmsy,2020,1.215006664,0.147546604,0.955421891,1.534941302,Underfished
Acanthurus sohal,b_div_bmsy,2020,1.102244851,0.16514608,0.84604696,1.43432415,Fully fished
Aethaloperca rogaa,b_div_bmsy,2020,0.929235742,0.147458261,0.729164901,1.164185357,Fully fished
Alepes djedaba,b_div_bmsy,2020,1.201905858,0.126374417,0.973693238,1.467440687,Underfished
Argyrops spinifer,b_div_bmsy,2020,1.157586397,0.121448663,0.953071334,1.395263542,Fully fished
Auxis rochei,b_div_bmsy,2020,1.344470746,0.172667772,1.012309573,1.73985239,Underfished
Auxis thazard,b_div_bmsy,2020,0.968320361,0.179682074,0.720779645,1.277735695,Fully fished
Bolbometopon muricatum,b_div_bmsy,2020,0.895351702,0.149549889,0.704889249,1.133924669,Fully fished
Bothus pantherinus,b_div_bmsy,2020,1.312661327,0.129446046,1.056761138,1.608683383,Underfished
Brachyura,b_div_bmsy,2020,1.115100889,0.185763492,0.831676186,1.503582467,Fully fished
Bregmaceros mcclellandi,b_div_bmsy,2020,0.662010002,0.18997359,0.490785059,0.887459759,Overfished
Caranx ignobilis,b_div_bmsy,2020,0.967139956,0.193724708,0.717669526,1.324680155,Fully fished
Carcharhinidae,b_div_bmsy,2020,0.327073828,0.202647583,0.244843765,0.471831167,Overfished
Carcharhinus falciformis,b_div_bmsy,2020,1.262418533,0.191213515,0.923704066,1.712041347,Underfished
Cephalopholis argus,b_div_bmsy,2020,1.15100822,0.163959735,0.866706913,1.476845867,Fully fished
Cephalopholis hemistiktos,b_div_bmsy,2020,1.250951627,0.129864474,1.00943568,1.521124197,Underfished
Cephalopholis miniata,b_div_bmsy,2020,1.185226448,0.160081423,0.911640196,1.506420051,Fully fished
Cephalopoda,b_div_bmsy,2020,0.75550007,0.183998647,0.565071623,1.015719081,Overfished
Chaceon spp,b_div_bmsy,2018,0.672480267,0.159284702,0.525822544,0.86262257,Overfished
Chanos chanos,b_div_bmsy,2020,1.191998124,0.166133837,0.906866758,1.552801734,Fully fished
Cheimerius nufar,b_div_bmsy,2020,0.890391337,0.143633161,0.696934397,1.126550174,Fully fished
Coryphaena hippurus,b_div_bmsy,2020,0.927726785,0.199692691,0.67436315,1.271582865,Fully fished
Crustacea,b_div_bmsy,2020,0.607294959,0.197819373,0.444951754,0.834989153,Overfished
Cynoglossidae,b_div_bmsy,2020,0.682181916,0.149860715,0.536142391,0.870025781,Overfished
Decapterus spp,b_div_bmsy,2020,1.267380963,0.168476058,0.967345951,1.646340177,Underfished
Drepane punctata,b_div_bmsy,2020,0.950576866,0.198728345,0.68039999,1.246176341,Fully fished
Elasmobranchii,b_div_bmsy,2020,0.545983079,0.127668472,0.447714893,0.671725236,Overfished
Eleutheronema tetradactylum,b_div_bmsy,2020,1.040220077,0.165177541,0.796790506,1.351209964,Fully fished
Epinephelus caeruleopunctatus,b_div_bmsy,2020,0.835926778,0.142068362,0.670421509,1.060581876,Fully fished
Epinephelus chlorostigma,b_div_bmsy,2020,1.193996059,0.184481999,0.896540926,1.594337784,Fully fished
Epinephelus coioides,b_div_bmsy,2020,1.488008313,0.172005473,1.112868762,1.953419139,Underfished
Epinephelus fuscoguttatus,b_div_bmsy,2020,0.709252522,0.16279745,0.549906065,0.93361198,Overfished
Epinephelus morrhua,b_div_bmsy,2020,1.089092987,0.132022267,0.876290493,1.328661524,Fully fished
Epinephelus multinotatus,b_div_bmsy,2020,0.905919842,0.181355955,0.677315582,1.219647816,Fully fished
Epinephelus polylepis,b_div_bmsy,2020,1.100324518,0.132329945,0.891249512,1.361243375,Fully fished
Epinephelus spp,b_div_bmsy,2020,1.046628013,0.172734057,0.791504512,1.381673526,Fully fished
Epinephelus summana,b_div_bmsy,2020,0.855488101,0.155529453,0.666815376,1.101660316,Fully fished
Epinephelus tauvina,b_div_bmsy,2020,1.052275107,0.144108139,0.827762102,1.32072023,Fully fished
Ex Mollusca,b_div_bmsy,2020,0.655965486,0.154111489,0.507451578,0.837238718,Overfished
Gerres oyena,b_div_bmsy,2020,1.211633936,0.167776577,0.91984929,1.574887337,Underfished
Gerres spp,b_div_bmsy,2020,0.843824497,0.138190741,0.683921585,1.056673831,Fully fished
Gnathanodon speciosus,b_div_bmsy,2020,1.173113461,0.145301654,0.925643533,1.472860502,Fully fished
Gymnosarda unicolor,b_div_bmsy,2020,0.533848853,0.179681497,0.399667127,0.713401874,Overfished
Haemulidae,b_div_bmsy,2020,0.899731662,0.127873206,0.738848898,1.115820361,Fully fished
Holothuroidea,b_div_bmsy,2020,0.790989911,0.179070796,0.590610393,1.052862858,Overfished
Istiompax indica,b_div_bmsy,2020,0.969011378,0.192075408,0.705448523,1.313915453,Fully fished
Istiophoridae,b_div_bmsy,2020,0.517940394,0.184067651,0.381772999,0.688859662,Overfished
Istiophorus platypterus,b_div_bmsy,2020,1.606563156,0.170099255,1.216121693,2.100727542,Underfished
Jasus paulensis,b_div_bmsy,2020,0.349707733,0.114973373,0.291361681,0.41845428,Overfished
Lactarius lactarius,b_div_bmsy,2020,0.764833386,0.118644766,0.631738789,0.920990718,Overfished
Leiognathidae,b_div_bmsy,2020,0.57817801,0.117814729,0.476357673,0.698125826,Overfished
Lethrinus borbonicus,b_div_bmsy,2020,1.388359353,0.151670984,1.079393352,1.736209567,Underfished
Lethrinus harak,b_div_bmsy,2020,1.083340554,0.159769703,0.833416981,1.394547403,Fully fished
Lethrinus lentjan,b_div_bmsy,2020,1.180368656,0.172798844,0.895825678,1.551623258,Fully fished
Lethrinus obsoletus,b_div_bmsy,2019,1.29991356,0.13169039,1.045126251,1.588405575,Underfished
Lethrinus xanthochilus,b_div_bmsy,2020,0.809469352,0.174265261,0.612164355,1.069570263,Fully fished
Liza klunzingeri,b_div_bmsy,2020,0.760271091,0.18677818,0.562364967,1.023783212,Overfished
Loliginidae,b_div_bmsy,2020,1.075105815,0.188756399,0.789768526,1.455648436,Fully fished
Lutjanidae,b_div_bmsy,2020,1.350446776,0.12094447,1.106609247,1.635098475,Underfished
