stock,variable,year,mean,sd,lower,upper,status
Lutjanus gibbus,b_div_bmsy,2020,0.5794626,0.141015002,0.464964953,0.730143178,Overfished
Lutjanus johnii,b_div_bmsy,2020,1.450231628,0.173902392,1.093712938,1.88907615,Underfished
Lutjanus kasmira,b_div_bmsy,2020,0.93384897,0.179441564,0.704832443,1.239452517,Fully fished
Lutjanus quinquelineatus,b_div_bmsy,2020,0.996460643,0.186809355,0.739764251,1.336929577,Fully fished
Makaira nigricans,b_div_bmsy,2020,0.774791576,0.168212286,0.597586712,1.011566856,Overfished
Megalaspis cordyla,b_div_bmsy,2020,1.023250544,0.168006295,0.783867303,1.33372516,Fully fished
Metapenaeus spp,b_div_bmsy,2020,0.48283931,0.146619319,0.384322086,0.6103268,Overfished
Monotaxis grandoculis,b_div_bmsy,2020,0.967112471,0.170274943,0.736415357,1.276008947,Fully fished
Mullidae,b_div_bmsy,2020,1.215135601,0.159694505,0.939316895,1.565452307,Underfished
Mulloidichthys flavolineatus,b_div_bmsy,2020,1.01286461,0.182380236,0.757113368,1.336503189,Fully fished
Muraenesox spp,b_div_bmsy,2020,0.547402633,0.165746688,0.422615504,0.710658845,Overfished
Naso unicornis,b_div_bmsy,2020,0.307150571,0.14892824,0.240823645,0.386375007,Overfished
Nemipteridae,b_div_bmsy,2020,0.989711368,0.190379667,0.722597483,1.359907934,Fully fished
Nemipterus japonicus,b_div_bmsy,2020,1.298150257,0.130673025,1.047087547,1.581821138,Underfished
Netuma_thalassina,b_div_bmsy,2020,1.142242,0.20995204,0.825838027,1.521319958,Fully fished
Octopodidae,b_div_bmsy,2020,1.335385943,0.173169418,1.003918339,1.757848108,Underfished
Osteichthyes,b_div_bmsy,2020,0.925833659,0.106293742,0.78296049,1.094550618,Fully fished
Otolithes ruber,b_div_bmsy,2020,0.973495108,0.117543876,0.803658728,1.170283855,Fully fished
Palinuridae,b_div_bmsy,2020,0.779148588,0.1667606,0.592747297,0.996103863,Overfished
Pampus argenteus,b_div_bmsy,2020,1.127805493,0.15026499,0.882671307,1.426350055,Fully fished
Panulirus homarus,b_div_bmsy,2020,0.448035299,0.1897048,0.332841358,0.619249303,Overfished
Panulirus spp,b_div_bmsy,2020,0.997224406,0.156375712,0.773543676,1.276904122,Fully fished
Parapenaeopsis spp,b_div_bmsy,2020,0.599758921,0.137797962,0.483262892,0.74310622,Overfished
Parastromateus niger,b_div_bmsy,2020,0.964072086,0.153359096,0.759218933,1.232283624,Fully fished
Pelates quadrilineatus,b_div_bmsy,2020,0.775600424,0.193444442,0.560871238,1.056311421,Overfished
Penaeus monodon,b_div_bmsy,2020,0.909475161,0.186958106,0.680188442,1.249175524,Fully fished
Penaeus semisulcatus,b_div_bmsy,2020,1.250933857,0.154210999,0.969458341,1.589092094,Underfished
Pennahia anea,b_div_bmsy,2020,1.176604386,0.163004261,0.901947479,1.519797871,Fully fished
Percoidei,b_div_bmsy,2020,0.808735142,0.194049999,0.574171324,0.9939524,Fully fished
Platycephalus indicus,b_div_bmsy,2020,1.602436545,0.136734857,1.278961647,1.963961116,Underfished
Plectorhinchus gaterinus,b_div_bmsy,2020,0.610969246,0.11491674,0.506962018,0.732543618,Overfished
Plectorhinchus pictus,b_div_bmsy,2020,0.69500578,0.190420064,0.509329976,0.947561058,Overfished
Plectorhinchus sordidus,b_div_bmsy,2020,1.063162139,0.157845775,0.830752531,1.352116373,Fully fished
Plectropomus areolatus,b_div_bmsy,2020,1.158189131,0.12711747,0.940889353,1.420525538,Fully fished
Plectropomus pessuliferus,b_div_bmsy,2020,1.064221148,0.110379176,0.895014244,1.263308898,Fully fished
Pleuronectiformes,b_div_bmsy,2020,0.909920588,0.142863707,0.724236183,1.125226795,Fully fished
Polynemidae,b_div_bmsy,2020,0.790574117,0.177313897,0.598553727,1.050953682,Overfished
Pomacanthus maculosus,b_div_bmsy,2020,0.931453087,0.191106447,0.692112257,1.276133335,Fully fished
Pomadasys kaakan,b_div_bmsy,2020,1.463135066,0.139870613,1.157561507,1.818332102,Underfished
Pomadasys stridens,b_div_bmsy,2020,0.691227709,0.161900191,0.54234376,0.912778197,Overfished
Portunus pelagicus,b_div_bmsy,2020,0.954523793,0.193419068,0.702702829,1.304051268,Fully fished
Prionace glauca,b_div_bmsy,2020,1.050710776,0.193497463,0.772089428,1.422717262,Fully fished
Psettodes erumei,b_div_bmsy,2020,1.010036085,0.183742491,0.755510748,1.345588166,Fully fished
Rachycentron canadum,b_div_bmsy,2020,1.099507713,0.147556309,0.863390235,1.387626472,Fully fished
Rajiformes,b_div_bmsy,2020,1.104824288,0.151499292,0.862088033,1.411890854,Fully fished
Rhabdosargus haffara,b_div_bmsy,2020,1.407295848,0.153171502,1.091376628,1.782947077,Underfished
Rhinobatidae,b_div_bmsy,2020,0.721100971,0.152329963,0.563884852,0.918929165,Overfished
Sarda orientalis,b_div_bmsy,2020,1.038001791,0.19264148,0.781605606,1.431791178,Fully fished
Sargocentron spiniferum,b_div_bmsy,2020,0.977748602,0.168065125,0.757596742,1.288999947,Fully fished
Scarus persicus,b_div_bmsy,2020,1.114834653,0.181772754,0.82708342,1.491841934,Fully fished
Scolopsis taeniata,b_div_bmsy,2020,1.008347909,0.176472669,0.757394856,1.327868993,Fully fished
Scomberoides commersonnianus,b_div_bmsy,2020,1.098091265,0.179887,0.817329944,1.475913666,Fully fished
Scomberoides spp,b_div_bmsy,2020,0.911199369,0.194337165,0.671640714,1.243005581,Fully fished
Scomberomorus guttatus,b_div_bmsy,2020,0.689596512,0.138014111,0.554984226,0.854283802,Overfished
Scomberomorus spp,b_div_bmsy,2020,0.476452792,0.130349322,0.388301512,0.589192063,Overfished
Selachimorpha (Pleurotremata),b_div_bmsy,2020,0.590937854,0.190728575,0.436410423,0.806882298,Overfished
Sepia pharaonis,b_div_bmsy,2020,0.92412827,0.190561462,0.680422618,1.252543176,Fully fished
Sepiidae Sepiolidae,b_div_bmsy,2020,1.206319823,0.159749545,0.924880105,1.548212936,Underfished
Serranidae,b_div_bmsy,2020,0.447403715,0.125365725,0.367349402,0.550102075,Overfished
Siganus spp,b_div_bmsy,2020,1.418852917,0.170677709,1.075591142,1.848853876,Underfished
Sillaginidae,b_div_bmsy,2020,0.692148493,0.129419507,0.564646528,0.855194818,Overfished
Sillago sihama,b_div_bmsy,2020,1.078300469,0.177207303,0.810938568,1.434553802,Fully fished
Sparidentex hasta,b_div_bmsy,2020,1.327641376,0.142529498,1.054148249,1.642495856,Underfished
Sphyraena barracuda,b_div_bmsy,2020,1.351092762,0.173428541,1.023426683,1.763115851,Underfished
Sphyraena jello,b_div_bmsy,2020,1.108047939,0.178190091,0.829282634,1.467091597,Fully fished
Tenualosa ilisha,b_div_bmsy,2020,0.751207485,0.178295037,0.562683176,0.984788564,Overfished
Tetrapturus audax,b_div_bmsy,2020,0.720845038,0.162421324,0.554488124,0.939915141,Overfished
Thunnus maccoyii,b_div_bmsy,2020,0.836547265,0.195343427,0.617006068,1.151290128,Fully fished
Thunnus tonggol,b_div_bmsy,2020,1.60108423,0.140976562,1.267829894,1.998420314,Underfished
Trachinotus blochii,b_div_bmsy,2020,0.929346321,0.186850475,0.688955178,1.249763687,Fully fished
Trachurus spp,b_div_bmsy,2020,0.965350838,0.176776565,0.723798343,1.286131836,Fully fished
Tylosurus crocodilus,b_div_bmsy,2020,0.972135102,0.177075972,0.724216107,1.268670416,Fully fished
Upeneus spp,b_div_bmsy,2020,0.832164001,0.16449765,0.640504008,1.084096507,Fully fished
Variola louti,b_div_bmsy,2020,1.110941063,0.182242063,0.83036728,1.47401095,Fully fished
Xiphias gladius,b_div_bmsy,2020,1.059528597,0.181127088,0.791779872,1.412671391,Fully fished
