year,stock,capture,effort
1950,Acanthocybium solandri,3,97234280.93
1950,Auxis rochei,80.102,97234280.93
1950,Auxis thazard,1672,97234280.93
1950,Auxis thazard,327.523,97234280.93
1950,Bregmaceros mcclellandi,5000,97234280.93
1950,Carcharhinidae,4800,97234280.93
1950,Cynoglossidae,100,97234280.93
1950,Decapterus spp,600,97234280.93
1950,Elasmobranchii,16105,97234280.93
1950,Ex Mollusca,100,97234280.93
1950,Istiompax indica,5,97234280.93
1950,Istiophorus platypterus,98,97234280.93
1950,Jasus paulensis,200,97234280.93
1950,Leiognathidae,7000,97234280.93
1950,Loliginidae,100,97234280.93
1950,Lutjanidae,500,97234280.93
1950,Mullidae,100,97234280.93
1950,Muraenesox spp,40000,97234280.93
1950,Naso unicornis,200,97234280.93
1950,Octopodidae,200,97234280.93
1950,Osteichthyes,51651.375,97234280.93
1950,Panulirus homarus,300,97234280.93
1950,Penaeus semisulcatus,400,97234280.93
1950,Percoidei,2000,97234280.93
1950,Pleuronectiformes,3600,97234280.93
1950,Rajiformes,500,97234280.93
1950,Sarda orientalis,4,97234280.93
1950,Scomberomorus guttatus,3926,97234280.93
1950,Scomberomorus lineolatus,23,97234280.93
1950,Selachimorpha (Pleurotremata),4800,97234280.93
1950,Sepiidae Sepiolidae,2800,97234280.93
1950,Serranidae,1600,97234280.93
1950,Stolephorus spp,1200,97234280.93
1950,Thunnus tonggol,1283,97234280.93
1950,Xiphias gladius,17,97234280.93
1951,Acanthocybium solandri,3,99971400.77
1951,Auxis rochei,27.097,99971400.77
1951,Auxis thazard,1677,99971400.77
1951,Auxis thazard,60.857,99971400.77
1951,Bregmaceros mcclellandi,5000,99971400.77
1951,Carcharhinidae,4800,99971400.77
1951,Cynoglossidae,100,99971400.77
1951,Decapterus spp,600,99971400.77
1951,Elasmobranchii,16142,99971400.77
1951,Ex Mollusca,100,99971400.77
1951,Istiompax indica,4,99971400.77
1951,Istiophorus platypterus,97,99971400.77
1951,Jasus paulensis,200,99971400.77
1951,Leiognathidae,7000,99971400.77
1951,Loliginidae,100,99971400.77
1951,Lutjanidae,500,99971400.77
1951,Mullidae,100,99971400.77
1951,Muraenesox spp,40000,99971400.77
1951,Naso unicornis,200,99971400.77
1951,Octopodidae,200,99971400.77
1951,Osteichthyes,52636,99971400.77
1951,Panulirus homarus,300,99971400.77
1951,Penaeus semisulcatus,400,99971400.77
1951,Percoidei,2000,99971400.77
1951,Pleuronectiformes,3600,99971400.77
1951,Rajiformes,500,99971400.77
1951,Sarda orientalis,1,99971400.77
1951,Scomberomorus guttatus,2955,99971400.77
1951,Scomberomorus lineolatus,53,99971400.77
1951,Selachimorpha (Pleurotremata),4800,99971400.77
1951,Sepiidae Sepiolidae,2800,99971400.77
1951,Serranidae,1600,99971400.77
1951,Stolephorus spp,1200,99971400.77
1951,Thunnus tonggol,1284,99971400.77
1951,Xiphias gladius,16,99971400.77
1952,Acanthocybium solandri,3,137477613.9
1952,Auxis rochei,28.306,137477613.9
1952,Auxis thazard,1682,137477613.9
1952,Auxis thazard,66.943,137477613.9
1952,Bregmaceros mcclellandi,5000,137477613.9
1952,Carcharhinidae,5700,137477613.9
1952,Cynoglossidae,200,137477613.9
1952,Decapterus spp,600,137477613.9
1952,Elasmobranchii,23581,137477613.9
1952,Ex Mollusca,100,137477613.9
1952,Istiompax indica,4,137477613.9
1952,Istiophorus platypterus,97,137477613.9
1952,Jasus paulensis,200,137477613.9
1952,Leiognathidae,7300,137477613.9
1952,Loliginidae,100,137477613.9
1952,Lutjanidae,500,137477613.9
1952,Mullidae,200,137477613.9
1952,Muraenesox spp,40000,137477613.9
1952,Naso unicornis,200,137477613.9
1952,Octopodidae,200,137477613.9
1952,Osteichthyes,56617.751,137477613.9
1952,Panulirus homarus,700,137477613.9
1952,Penaeus semisulcatus,400,137477613.9
1952,Percoidei,2000,137477613.9
1952,Pleuronectiformes,5800,137477613.9
1952,Polynemidae,700,137477613.9
1952,Rajiformes,700,137477613.9
1952,Sarda orientalis,1,137477613.9
1952,Scomberomorus guttatus,2584,137477613.9
1952,Scomberomorus lineolatus,28,137477613.9
1952,Selachimorpha (Pleurotremata),5700,137477613.9
1952,Sepiidae Sepiolidae,3600,137477613.9
1952,Serranidae,2100,137477613.9
1952,Stolephorus spp,1200,137477613.9
1952,Thunnus tonggol,1294,137477613.9
1952,Xiphias gladius,9,137477613.9
1953,Acanthocybium solandri,3,133900320.7
1953,Auxis rochei,35.647,133900320.7
1953,Auxis thazard,2234,133900320.7
1953,Auxis thazard,63.623,133900320.7
1953,Bregmaceros mcclellandi,14600,133900320.7
1953,Carcharhinidae,6300,133900320.7
1953,Cynoglossidae,200,133900320.7
1953,Decapterus spp,600,133900320.7
1953,Elasmobranchii,10821,133900320.7
1953,Epinephelus spp,100,133900320.7
1953,Ex Mollusca,200,133900320.7
1953,Exocoetidae,100,133900320.7
1953,Istiompax indica,4,133900320.7
1953,Istiophorus platypterus,100,133900320.7
1953,Jasus paulensis,200,133900320.7
1953,Leiognathidae,4200,133900320.7
1953,Loliginidae,100,133900320.7
1953,Lutjanidae,500,133900320.7
1953,Mullidae,200,133900320.7
1953,Muraenesox spp,47600,133900320.7
1953,Naso unicornis,200,133900320.7
1953,Octopodidae,200,133900320.7
1953,Osteichthyes,63696,133900320.7
1953,Panulirus homarus,700,133900320.7
1953,Penaeus semisulcatus,400,133900320.7
1953,Percoidei,2200,133900320.7
1953,Pleuronectiformes,4400,133900320.7
1953,Polynemidae,500,133900320.7
1953,Rajiformes,700,133900320.7
1953,Sarda orientalis,1,133900320.7
1953,Scomberomorus guttatus,1463,133900320.7
1953,Scomberomorus lineolatus,12,133900320.7
1953,Selachimorpha (Pleurotremata),6300,133900320.7
1953,Sepiidae Sepiolidae,3600,133900320.7
1953,Serranidae,1600,133900320.7
1953,Stolephorus spp,1200,133900320.7
1953,Tenualosa ilisha,10000,133900320.7
1953,Thunnus tonggol,1561,133900320.7
1953,Upeneus spp,900,133900320.7
1953,Xiphias gladius,9,133900320.7
1954,Acanthocybium solandri,3,138971189.7
1954,Auxis rochei,53.022,138971189.7
1954,Auxis thazard,2244,138971189.7
1954,Auxis thazard,151.037,138971189.7
1954,Bregmaceros mcclellandi,9800,138971189.7
1954,Carcharhinidae,5700,138971189.7
1954,Cynoglossidae,200,138971189.7
1954,Decapterus spp,800,138971189.7
1954,Elasmobranchii,10961,138971189.7
1954,Epinephelus spp,100,138971189.7
1954,Ex Mollusca,200,138971189.7
1954,Exocoetidae,0,138971189.7
1954,Istiompax indica,53,138971189.7
1954,Istiophorus platypterus,157,138971189.7
1954,Jasus paulensis,200,138971189.7
1954,Leiognathidae,9300,138971189.7
1954,Loliginidae,100,138971189.7
1954,Lutjanidae,600,138971189.7
1954,Makaira nigricans,295,138971189.7
1954,Mullidae,300,138971189.7
1954,Muraenesox spp,18200,138971189.7
1954,Naso unicornis,200,138971189.7
1954,Octopodidae,200,138971189.7
1954,Osteichthyes,68310.942,138971189.7
1954,Panulirus homarus,700,138971189.7
1954,Penaeus semisulcatus,500,138971189.7
1954,Percoidei,2300,138971189.7
1954,Pleuronectiformes,1500,138971189.7
1954,Polynemidae,1200,138971189.7
1954,Rajiformes,700,138971189.7
